epoch,loss
0,0.100036
100,0.009220
200,0.004165
300,0.002844
400,0.002232
500,0.001881
600,0.001651
700,0.001490
800,0.001369
900,0.001275
0,0.100036
100,0.009220
200,0.004165
300,0.002844
400,0.002232
500,0.001881
600,0.001651
700,0.001490
800,0.001369
900,0.001275
0,0.103121
100,0.012341
200,0.005249
300,0.003457
400,0.002668
500,0.002222
600,0.001936
700,0.001737
800,0.001591
900,0.001479
0,0.119587
100,0.010379
200,0.004238
300,0.002800
400,0.002174
500,0.001827
600,0.001604
700,0.001449
800,0.001334
900,0.001245
0,0.104856
100,0.014725
200,0.005482
300,0.003486
400,0.002673
500,0.002231
600,0.001951
700,0.001756
800,0.001612
900,0.001500
0,0.095149
100,0.010053
200,0.004244
300,0.002807
400,0.002194
500,0.001854
600,0.001636
700,0.001482
800,0.001368
900,0.001280
0,0.098717
100,0.010844
200,0.005135
300,0.003562
400,0.002841
500,0.002424
600,0.002148
700,0.001952
800,0.001804
900,0.001689
0,0.101606
100,0.009420
200,0.004265
300,0.002899
400,0.002272
500,0.001912
600,0.001678
700,0.001514
800,0.001392
900,0.001297
0,0.129492
100,0.010603
200,0.004316
300,0.002884
400,0.002252
500,0.001897
600,0.001669
700,0.001509
800,0.001392
900,0.001300
0,0.100076
100,0.010774
200,0.004305
300,0.002803
400,0.002168
500,0.001820
600,0.001599
700,0.001445
800,0.001332
900,0.001244
0,0.093604
100,0.009557
200,0.004253
300,0.002894
400,0.002276
500,0.001924
600,0.001696
700,0.001536
800,0.001417
900,0.001325
0,0.104013
100,0.010862
200,0.004618
300,0.003056
400,0.002377
500,0.001999
600,0.001758
700,0.001590
800,0.001465
900,0.001370
0,0.100412
100,0.013772
200,0.005654
300,0.003689
400,0.002856
500,0.002390
600,0.002089
700,0.001878
800,0.001721
900,0.001599
0,0.103483
100,0.010045
200,0.004124
300,0.002824
400,0.002233
500,0.001891
600,0.001664
700,0.001501
800,0.001377
900,0.001280
0,0.110776
100,0.010095
200,0.004450
300,0.003040
400,0.002408
500,0.002047
600,0.001813
700,0.001647
800,0.001522
900,0.001425
0,0.112466
100,0.010768
200,0.004383
300,0.002925
400,0.002286
500,0.001925
600,0.001691
700,0.001526
800,0.001403
900,0.001307
0,0.105299
100,0.012632
200,0.004685
300,0.003013
400,0.002304
500,0.001915
600,0.001670
700,0.001501
800,0.001376
900,0.001280
0,0.097797
100,0.014565
200,0.004750
300,0.002969
400,0.002257
500,0.001880
600,0.001646
700,0.001484
800,0.001366
900,0.001275
0,0.109151
100,0.010577
200,0.004390
300,0.002962
400,0.002335
500,0.001979
600,0.001748
700,0.001584
800,0.001461
900,0.001363
0,0.108568
100,0.009444
200,0.004011
300,0.002789
400,0.002224
500,0.001893
600,0.001675
700,0.001518
800,0.001400
900,0.001307
