epoch,loss
0,0.127494
10,0.077377
20,0.071388
30,0.068586
40,0.066714
50,0.065201
60,0.063870
70,0.062640
80,0.061459
90,0.060294
100,0.059118
110,0.057905
120,0.056631
130,0.055268
140,0.053794
150,0.052189
160,0.050442
170,0.048550
180,0.046528
190,0.044401
200,0.042210
210,0.040004
220,0.037837
230,0.035756
240,0.033795
250,0.031980
260,0.030325
270,0.028847
280,0.027565
290,0.026519
300,0.025772
310,0.025393
320,0.025416
330,0.025777
340,0.026331
350,0.026914
360,0.027404
370,0.027742
380,0.027923
390,0.027970
400,0.027919
410,0.027806
420,0.027662
430,0.027515
440,0.027390
450,0.027309
460,0.027294
470,0.027362
480,0.027519
490,0.027760
500,0.028072
510,0.028448
520,0.028893
530,0.029412
540,0.030000
550,0.030640
560,0.031304
570,0.031939
580,0.032445
590,0.032652
600,0.032498
610,0.032310
620,0.032786
630,0.035927
640,0.036750
650,0.036374
660,0.035607
670,0.034684
680,0.033950
690,0.033183
700,0.032840
710,0.032936
720,0.032293
730,0.031738
740,0.032821
750,0.033293
760,0.030571
770,0.031440
780,0.031938
790,0.032464
800,0.032361
810,0.032241
