epoch,loss
0,0.169521
10,0.079397
20,0.070724
30,0.067211
40,0.065174
50,0.063334
60,0.061083
70,0.058193
80,0.054645
90,0.050535
100,0.046013
110,0.041269
120,0.036520
130,0.031981
140,0.027817
150,0.024118
160,0.020903
170,0.018157
180,0.015838
190,0.013887
200,0.012235
210,0.010815
220,0.009576
230,0.008481
240,0.007512
250,0.006658
260,0.005913
270,0.005273
280,0.004730
290,0.004273
300,0.003890
310,0.003568
320,0.003295
330,0.003061
340,0.002858
350,0.002681
360,0.002525
370,0.002387
380,0.002265
390,0.002156
400,0.002059
410,0.001971
420,0.001890
430,0.001817
440,0.001750
450,0.001688
460,0.001632
470,0.001581
480,0.001535
490,0.001495
500,0.001459
510,0.001429
520,0.001404
530,0.001383
540,0.001367
550,0.001354
560,0.001344
570,0.001338
580,0.001334
590,0.001333
600,0.001333
610,0.001335
620,0.001339
630,0.001343
640,0.001348
650,0.001354
660,0.001361
670,0.001369
680,0.001377
690,0.001385
700,0.001394
710,0.001403
720,0.001412
730,0.001421
740,0.001431
750,0.001441
760,0.001452
770,0.001462
780,0.001473
790,0.001484
800,0.001496
810,0.001507
820,0.001518
830,0.001528
840,0.001535
850,0.001540
860,0.001543
870,0.001546
880,0.001549
890,0.001553
900,0.001557
910,0.001561
920,0.001565
930,0.001569
940,0.001574
950,0.001578
960,0.001582
970,0.001586
980,0.001590
990,0.001594
1000,0.001597
1010,0.001600
1020,0.001603
1030,0.001606
1040,0.001609
1050,0.001611
1060,0.001614
1070,0.001616
1080,0.001618
1090,0.001619
